iter	Logloss
0	0.6878505787
1	0.6829778393
2	0.6783772397
3	0.674731827
4	0.6708648324
5	0.6659079192
6	0.6624657183
7	0.6579609359
8	0.6539903618
9	0.6498810452
10	0.6455524793
11	0.6412820374
12	0.6370340267
13	0.6335510905
14	0.6303921474
15	0.6269350582
16	0.6231102657
17	0.6192228217
18	0.6155476869
19	0.6122786406
20	0.6087613911
21	0.6054606354
22	0.602147018
23	0.5994751961
24	0.59703131
25	0.5940872887
26	0.5912842659
27	0.5883357057
28	0.5853185576
29	0.5827483952
30	0.5799344912
31	0.5770575416
32	0.5741483795
33	0.5712791586
34	0.5687318688
35	0.5660022986
36	0.5631919204
37	0.5603602625
38	0.5575397643
39	0.5555185271
40	0.5531793141
41	0.5508178516
42	0.5488963612
43	0.5462269033
44	0.5441455455
45	0.5423798042
46	0.5400407057
47	0.5383087923
48	0.5361030077
49	0.5343957301
50	0.5324726324
51	0.5302020261
52	0.5279779245
53	0.5262265528
54	0.5241513195
55	0.5223855726
56	0.5207451106
57	0.5189626743
58	0.5170921402
59	0.5153254297
60	0.5134957893
61	0.511852264
62	0.5103067709
63	0.5084207985
64	0.5068614351
65	0.5047916476
66	0.5034572677
67	0.5017970107
68	0.5004311901
69	0.4994229373
70	0.4983509078
71	0.4972039013
72	0.4958829309
73	0.494947073
74	0.4935185423
75	0.4923057187
76	0.4913035988
77	0.4902444469
78	0.488766634
79	0.4876872917
80	0.4861910526
81	0.4849316863
82	0.4840925796
83	0.4830519016
84	0.4819512097
85	0.4809695264
86	0.4795579477
87	0.4783418298
88	0.4770698531
89	0.475757225
90	0.4748400797
91	0.473793838
92	0.472880034
93	0.4719357082
94	0.4709409992
95	0.4698858265
96	0.4688566238
97	0.4678142526
98	0.467136994
99	0.4665058212
100	0.4656066062
101	0.4645268867
102	0.4632325232
103	0.461931345
104	0.4607908215
105	0.4599865108
106	0.4591738713
107	0.4582657337
108	0.457394707
109	0.4567221431
110	0.4560215094
111	0.4549655019
112	0.4540279868
113	0.4531098976
114	0.4521941466
115	0.4513971037
116	0.4506826142
117	0.4493792837
118	0.4485957243
119	0.447745018
120	0.4466899906
121	0.4460838408
122	0.4452691184
123	0.4441032857
124	0.4433286736
125	0.4424682674
126	0.4416959422
127	0.4409336414
128	0.4403927069
129	0.4396662531
130	0.4389534935
131	0.4381768697
132	0.4376013275
133	0.4371050785
134	0.4365067108
135	0.4358171612
136	0.4354188519
137	0.4352782171
138	0.4345083412
139	0.4341144994
140	0.4333445518
141	0.4328912917
142	0.432270001
143	0.4316029935
144	0.4311771792
145	0.4307971415
146	0.4300209539
147	0.4296007949
148	0.4288857309
149	0.4281654248
150	0.4272327803
151	0.4263561515
152	0.4256515353
153	0.4252314721
154	0.4247804959
155	0.4241927185
156	0.4236795129
157	0.4231864657
158	0.4225978049
159	0.4218814599
160	0.4212587669
161	0.4208612341
162	0.4202561559
163	0.4197931336
164	0.4194455656
165	0.418546419
166	0.417993528
167	0.4174180155
168	0.416765605
169	0.4161998712
170	0.4159655071
171	0.4156318885
172	0.4152157917
173	0.4144781104
174	0.4139809245
175	0.4134310925
176	0.4127530323
177	0.4124252809
178	0.4118433625
179	0.4111434645
180	0.4107461582
181	0.4103703571
182	0.409787292
183	0.4092259368
184	0.4086093044
185	0.4081858376
186	0.4078405325
187	0.4072356802
188	0.406611834
189	0.4062691363
190	0.4056258912
191	0.4052971485
192	0.4048481405
193	0.4043411965
194	0.4041056027
195	0.4035456763
196	0.4031554889
197	0.4024976179
198	0.4022002295
199	0.4019314129
200	0.4012618034
201	0.4005969061
202	0.4001523182
203	0.3999191344
204	0.3995492033
205	0.3990770396
206	0.3985802132
207	0.3979969615
208	0.3974153755
209	0.3971092384
210	0.3965713721
211	0.396004515
212	0.3958505338
213	0.395433788
214	0.395186413
215	0.3948413637
216	0.3945218159
217	0.3940462638
218	0.3934583506
219	0.3931470416
220	0.3926016684
221	0.391983991
222	0.3917065016
223	0.3913004341
224	0.3909457289
225	0.3905137241
226	0.390026232
227	0.3896103036
228	0.3891389446
229	0.3888762113
230	0.3884738777
231	0.3880533176
232	0.3876929878
233	0.3873210229
234	0.3869818311
235	0.3867613538
236	0.3863422253
237	0.3861425944
238	0.385633258
239	0.3852723341
240	0.384900693
241	0.3846215075
242	0.3843934289
243	0.3841759032
244	0.3838626006
245	0.3836081733
246	0.3830826378
247	0.3826032475
248	0.3821993808
249	0.3818022243
250	0.3815444666
251	0.3811826833
252	0.3809269709
253	0.3805346725
254	0.3802972586
255	0.3797198952
256	0.3792866933
257	0.3790756599
258	0.3787922654
259	0.3785790812
260	0.3781141667
261	0.377786443
262	0.3773809757
263	0.3771606344
264	0.3767328707
265	0.3764719491
266	0.3760671271
267	0.375551977
268	0.3752085147
269	0.3748478285
270	0.3746533537
271	0.3741279681
272	0.3738934791
273	0.3736235239
274	0.3732944113
275	0.3730125712
276	0.3726148777
277	0.3724192222
278	0.3722495288
279	0.3719207469
280	0.3715502701
281	0.3711573222
282	0.3709009562
283	0.3706579061
284	0.3703429273
285	0.3698604795
286	0.3695256753
287	0.3692597439
288	0.3690632098
289	0.3685197569
290	0.368255301
291	0.3679557197
292	0.3676007737
293	0.3673202202
294	0.3669910679
295	0.3668347144
296	0.3663659667
297	0.3663422117
298	0.3660362326
299	0.3658463625
300	0.3656750009
301	0.365416625
302	0.3652421106
303	0.3648497236
304	0.3646631149
305	0.3642791735
306	0.3641347165
307	0.3638212588
308	0.3635121889
309	0.3631976437
310	0.3630728896
311	0.3628300869
312	0.3624521746
313	0.3622943417
314	0.3620786112
315	0.36183172
316	0.3616606561
317	0.36132467
318	0.3611466505
319	0.3607099707
320	0.3603559859
321	0.3599267066
322	0.3595982727
323	0.3592569864
324	0.3589840212
325	0.3587206788
326	0.3583524358
327	0.3580560621
328	0.3579071122
329	0.3576670602
330	0.3575117854
331	0.3573497005
332	0.3569932775
333	0.3567253208
334	0.356188316
335	0.3558658626
336	0.3555349595
337	0.3552073343
338	0.3548924152
339	0.3545792892
340	0.3543653149
341	0.3541480967
342	0.353610961
343	0.353425238
344	0.3532528439
345	0.352772062
346	0.3525182014
347	0.3522305026
348	0.3520613196
349	0.3516688996
350	0.3513955417
351	0.3508410874
352	0.3505239937
353	0.3503612182
354	0.3501643964
355	0.3499963217
356	0.3496401513
357	0.349218892
358	0.3489438477
359	0.3486088112
360	0.3483024119
361	0.348008389
362	0.3478240901
363	0.3476728439
364	0.3475070933
365	0.3472113196
366	0.3469529635
367	0.3467239142
368	0.3463519477
369	0.3461657433
370	0.3457882786
371	0.3454064929
372	0.3450094362
373	0.344521655
374	0.3442081636
375	0.3437763236
376	0.3434957423
377	0.3433406824
378	0.3432311937
379	0.3430551974
380	0.3428072327
381	0.3425453676
382	0.3423336402
383	0.3420387534
384	0.3418414834
385	0.3416089992
386	0.3411658607
387	0.3410583243
388	0.3408791241
389	0.3406436092
390	0.3404352079
391	0.3401904297
392	0.3397119437
393	0.3395108996
394	0.3390357374
395	0.3388271289
396	0.3385141395
397	0.3382381674
398	0.3379592098
399	0.3375567557
400	0.3373083378
401	0.3372049437
402	0.3369736869
403	0.3366189534
404	0.3363935724
405	0.3361044321
406	0.3358409934
407	0.335697507
408	0.335412977
409	0.3351966015
410	0.3349041114
411	0.3346666413
412	0.3344034901
413	0.3342604034
414	0.3338908889
415	0.3337276369
416	0.3335338343
417	0.3334104449
418	0.333213216
419	0.333028222
420	0.3327858147
421	0.3325939992
422	0.332286146
423	0.3321415984
424	0.3320806642
425	0.3317588799
426	0.3316312962
427	0.3313856833
428	0.3310097424
429	0.3308615892
430	0.3305650986
431	0.3302079883
432	0.3299296972
433	0.3296207553
434	0.3293952859
435	0.3291461742
436	0.3289026141
437	0.3288133922
438	0.3286793195
439	0.3284519236
440	0.3282037596
441	0.3280763121
442	0.3277643206
443	0.3276404486
444	0.3274326611
445	0.3272872669
446	0.3270023743
447	0.3266874947
448	0.3264189409
449	0.3258634919
450	0.3256049096
451	0.325474826
452	0.3253529848
453	0.3249606237
454	0.3245822731
455	0.3244002184
456	0.324012629
457	0.3238034004
458	0.3233397893
459	0.3232985891
460	0.3231726728
461	0.3229813436
462	0.3227459131
463	0.3224121253
464	0.3217389131
465	0.321551428
466	0.3211337658
467	0.3208531708
468	0.3205917521
469	0.3202797256
470	0.3200190699
471	0.3196635639
472	0.3194062443
473	0.3190412227
474	0.3187520661
475	0.3184778803
476	0.3183718617
477	0.3182517999
478	0.3180892516
479	0.3178143135
480	0.3175321509
481	0.3173405666
482	0.317234831
483	0.316977452
484	0.3168172824
485	0.3166335183
486	0.3163577304
487	0.31613791
488	0.3159622917
489	0.3157818022
490	0.3154732592
491	0.3152607259
492	0.3150747407
493	0.3146723529
494	0.3144182505
495	0.3141966766
496	0.3138764615
497	0.3136291316
498	0.3134641983
499	0.3134106304
500	0.3132665845
501	0.3131326972
502	0.3128562998
503	0.3125239928
